longitude,latitude,nom_ah
-75.76666667,5.15,Magdalena Cauca
-76.0,3.63333333,Magdalena Cauca
-75.55,6.23333333,Magdalena Cauca
-75.02,9.4,Magdalena Cauca
-76.59822778,3.08871111,Magdalena Cauca
-74.55,4.86666667,Magdalena Cauca
-76.61666667,3.43333333,Magdalena Cauca
-74.06561111,4.93305556,Magdalena Cauca
-75.83880556,5.79105556,Magdalena Cauca
-74.08333333,4.48333333,Magdalena Cauca
-73.39194444,4.85252778,Orinoco
-73.21,2.94,Orinoco
-73.92658333,4.52291667,Orinoco
-73.7,4.73333333,Orinoco
-73.64772222,4.16363889,Orinoco
-73.89041667,4.48652778,Orinoco
-73.73333333,4.53333333,Orinoco
-73.89216667,3.31638889,Orinoco
-73.73333333,4.18333333,Orinoco
-69.84388889,6.01030556,Orinoco
-76.36666667,4.3,Pacifico
-77.53333333,1.31666667,Pacifico
-77.0,1.83333333,Pacifico
-77.50555556,1.65138889,Pacifico
-76.78786111,2.23225,Pacifico
-77.47919444,1.32225,Pacifico
-76.15,4.56666667,Pacifico
-77.773,2.48566667,Pacifico
-77.20822222,3.47969444,Pacifico
-76.67341667,2.03,Pacifico
